ifile,name,num_valid,voxelization_time,scn_time
0,79a10e4d9e5b49e980a8897d6f09f450.bin,101313,1.510912,22.975616
1,d34984a371044f33998cde724c33a102.bin,105757,1.498368,23.782145
2,91b1849b2b1747a39ba5732ba4caa1df.bin,96342,1.424128,21.646208
3,6b3c851413064994bb0babae7e74efad.bin,27572,1.120000,10.393408
4,7f8368b7a14341b3bef03a7aec63f9b5.bin,16327,1.157920,8.428768
5,d1d38dddb8174acf9cb776ec6c941024.bin,106660,1.578464,22.748640
6,6c8d4379e83646d08436f6ec92b35fe5.bin,76922,1.310592,19.606720
7,0305c100b4a84730989c5dda78ddeec9.bin,108492,1.537184,23.627584
8,29ac0fcfafd84f309c87aadf3115c950.bin,35461,1.231968,10.320032
9,b4accdcad42b4ff3a8b112c8c525ade7.bin,30635,1.275680,8.385728
10,4c5a8356ea1741548238807ba41235d3.bin,100287,1.511328,21.887615
11,45c4bd03ee6f4a369dd42abf08dc3957.bin,17573,1.156640,9.048288
12,be8633f083d2475f893b86dd55b40247.bin,100414,1.370848,24.671743
13,cbaaec205eff4568b512c1697f72102a.bin,104677,1.493472,22.906656
14,b58468bede76466aa930983808b6ad29.bin,93402,1.476480,18.852863
15,b6040c8081f544bda2bef0395d78762b.bin,94664,1.412896,21.822559
16,c35efe5eaf784275b8c7e31fb50aa902.bin,16250,1.101984,11.754304
17,741bbef66bca4f969a3d114ea0236f54.bin,98398,1.448000,22.264641
18,c0b90da5ed8c4bb2b18589e4fca1274f.bin,36667,1.319392,9.843776
19,a6be1b51213443ba9991585f56a30c71.bin,85472,1.449248,20.052992
20,fccf8bafaeeb4f038492da7f5e2f54ed.bin,108411,1.492704,28.242144
21,75642377ad5f4a0fa9d7baaf0d19a987.bin,99842,1.463680,23.482176
22,af7a7e39956646a785d8d7c5831fea62.bin,112931,1.522560,26.701153
23,de9de0f47732412ab3237f24cff1cf48.bin,105384,1.450432,25.940544
24,52e468d2e8da4ae4b2db7d446ce56a15.bin,99784,1.514912,23.703104
25,22ce804db92749a1aee3a08ffbecfbbd.bin,90332,1.380736,21.212032
26,523a794414fa482582dd27e9335e415d.bin,96646,1.483104,22.650976
27,07484c624f14433c9ae39d08d8034b3f.bin,87774,1.400640,18.637407
28,a1165ef34d62441db1047c17865c5797.bin,86088,1.361632,18.656033
29,772b84ce4ae94232b1e48f7d1dc31ee0.bin,101151,1.482304,23.903456
30,16767ec4463a4d8e80e7ec9be2d29103.bin,76210,1.296512,15.372544
31,caccb9f684a14ff0a17f35c9f822f259.bin,110998,1.591488,25.250528
32,b8e720d836274c5da346f7e8a46b8a5f.bin,108226,1.468512,26.426399
33,eaa81f61d6a74d7da1d54fb2d2f2bdf8.bin,72049,1.290528,14.668928
34,3fc868d0c6984ae6855406f386d4fc69.bin,106469,1.463904,26.608543
35,6b9a36508b994d95927d7b2af790db05.bin,104598,1.511392,23.897600
36,ff203550c7614afc984ea4323e9b6799.bin,72671,1.404736,13.586464
37,addc85df1c34465090f92fa811ecaac6.bin,109316,1.528224,25.289473
38,2314ea963c6f415fafe75d8e578be1d6.bin,116417,1.520288,25.956703
39,e0c4e822835f4a2e925dec94a835d5ab.bin,70923,1.416160,13.908544
40,7d47a8f93f564e4e9546107d21de0551.bin,30489,1.279520,9.781248
41,5986a2bd42ec4cd4bacd1ff986a36882.bin,116650,1.492416,33.590977
42,aa298fdc84fb489a911a3f363d3beda9.bin,16577,1.168288,9.976864
43,08e76760a8c64a92a86686baf68f6aff.bin,110909,1.522816,25.866465
44,244f3bb0a98149b8a0cf4ecd1719cf31.bin,112493,1.536288,28.781569
45,c10534cac92945438adc094afeb541f7.bin,101826,1.370144,26.143423
46,0abd4e71179c450f935b18eed1a80f85.bin,107119,1.497024,21.657728
47,c3240502fa1e42f1aef31b01d7abe539.bin,93554,1.504192,19.172640
48,0ee2e970ef9140d7b440c93a06d4c633.bin,92291,1.501952,18.886175
49,abad69b7e6194c95b18a054aa082cfb8.bin,15853,1.116256,9.343648
50,f334e3c6c5684a9ab5ac3122287dc50c.bin,77578,1.243712,18.343840
51,c2102371cbcf4d8f9eb66069a3d5b350.bin,98098,1.456064,23.169920
52,98bf27ef19ff41fe9c46bb8fff168076.bin,80413,1.397760,15.966240
53,bf6462153f7e45ac97c6ca0469d7936b.bin,104087,1.466560,22.762560
54,fa48d1046e22419fad3615fc17225e16.bin,79271,1.334816,20.224607
55,55b9812e9276478b9860edab6a2ef3e6.bin,106500,1.488960,26.354656
56,a2125808ffbc44feb85812295db72781.bin,33068,1.419424,9.171808
57,a2f135999c12428caacda927ebcff835.bin,38636,1.194720,14.964576
58,9212da5bfd6641b4b225ae51f608dfad.bin,102461,1.484384,23.797024
59,07fad91090c746ccaa1b2bdb55329e20.bin,105544,1.507040,21.277151
60,0b356d1230cc4cf9b50580c6b432576f.bin,108271,1.555392,22.853825
61,1c9a906c40f6417bbe1cea06d6e55501.bin,103356,1.479872,21.565376
62,ec671ed4954b435a9188d1646e82466d.bin,104986,1.470368,23.382591
63,66dcc398f35845de99fd4ac9f2b98576.bin,86221,1.314528,18.784767
64,8f0808f02e6f4e30915c719e16fcc8b6.bin,96659,1.385216,23.690847
65,8887f956960c40df8e801576ad31ac93.bin,60719,1.379104,12.641024
66,d617daef46b24ba39fcc80e8f767b082.bin,98971,1.531360,16.789503
67,814720ee91d54e408e6fd0dd1b356e9c.bin,120318,1.504480,32.722240
68,2d800e7c6d03460e8532daba3641f5d2.bin,31853,1.217152,10.757440
69,d9a1ed3782c54edf8e48c0dac652869b.bin,29310,1.141440,10.752128
70,492564515fd64974a7794710e7676c84.bin,119370,1.527296,27.402945
71,65cda5e5171247e9a7a18afc9a8447d5.bin,118505,1.558080,27.080000
72,700c1a25559b4433be532de3475e58a9.bin,84732,1.302432,18.849377
73,19316021f0a64765b8ac8887ff3d0e07.bin,105488,1.424736,25.212896
74,4a1972f8731b4cdea40fc69a38a735b1.bin,116744,1.588160,26.184383
75,353a0ef8f00847f98a1540b086b4d018.bin,53726,1.358528,13.337504
76,89bc1e54d10a47f8bbb13552df6fc114.bin,40371,1.254816,16.874081
77,c3177f4c31224fcb9b95f0d18bcfc2ca.bin,65339,1.257120,14.049408
78,97b2a78e052446b0899ae1bcf8eab099.bin,101325,1.499424,22.780512
79,6b849f66b0974bff9cd073b4c70b23cb.bin,102499,1.466304,22.463455
80,ab76b5143c7c433bac44049dc2a8c9e1.bin,80651,1.272384,18.172832
81,31dc0c75e21748edb4b32c388cf4a86a.bin,113505,1.449632,30.092447
82,86958f43ae42452badc0ca07c865b890.bin,107991,1.481504,23.619553
