ifile,name,num_valid,voxelization_time,scn_time
0,79a10e4d9e5b49e980a8897d6f09f450.bin,101313,1.514272,23.115328
1,d34984a371044f33998cde724c33a102.bin,105757,1.484416,24.283199
2,91b1849b2b1747a39ba5732ba4caa1df.bin,96342,1.425248,21.748320
3,6b3c851413064994bb0babae7e74efad.bin,27572,1.100640,10.639360
4,7f8368b7a14341b3bef03a7aec63f9b5.bin,16327,1.131168,8.239072
5,d1d38dddb8174acf9cb776ec6c941024.bin,106660,1.620384,23.437759
6,6c8d4379e83646d08436f6ec92b35fe5.bin,76922,1.278912,19.548704
7,0305c100b4a84730989c5dda78ddeec9.bin,108492,1.516128,24.455584
8,29ac0fcfafd84f309c87aadf3115c950.bin,35461,1.244896,10.808512
9,b4accdcad42b4ff3a8b112c8c525ade7.bin,30635,1.274688,8.651808
10,4c5a8356ea1741548238807ba41235d3.bin,100287,1.518848,22.236736
11,45c4bd03ee6f4a369dd42abf08dc3957.bin,17573,1.190400,9.512928
12,be8633f083d2475f893b86dd55b40247.bin,100414,1.375968,24.715712
13,cbaaec205eff4568b512c1697f72102a.bin,104677,1.521792,23.042528
14,b58468bede76466aa930983808b6ad29.bin,93402,1.436512,18.868128
15,b6040c8081f544bda2bef0395d78762b.bin,94664,1.394784,21.997824
16,c35efe5eaf784275b8c7e31fb50aa902.bin,16250,1.093856,11.964768
17,741bbef66bca4f969a3d114ea0236f54.bin,98398,1.444512,22.162945
18,c0b90da5ed8c4bb2b18589e4fca1274f.bin,36667,1.254304,9.998144
19,a6be1b51213443ba9991585f56a30c71.bin,85472,1.385632,20.523935
20,fccf8bafaeeb4f038492da7f5e2f54ed.bin,108411,1.480544,28.836897
21,75642377ad5f4a0fa9d7baaf0d19a987.bin,99842,1.437856,23.451296
22,af7a7e39956646a785d8d7c5831fea62.bin,112931,1.498240,26.936256
23,de9de0f47732412ab3237f24cff1cf48.bin,105384,1.436704,26.150335
24,52e468d2e8da4ae4b2db7d446ce56a15.bin,99784,1.442528,23.733889
25,22ce804db92749a1aee3a08ffbecfbbd.bin,90332,1.386656,21.184671
26,523a794414fa482582dd27e9335e415d.bin,96646,1.472928,23.370399
27,07484c624f14433c9ae39d08d8034b3f.bin,87774,1.353664,18.808672
28,a1165ef34d62441db1047c17865c5797.bin,86088,1.345056,18.651297
29,772b84ce4ae94232b1e48f7d1dc31ee0.bin,101151,1.448928,24.158049
30,16767ec4463a4d8e80e7ec9be2d29103.bin,76210,1.328320,15.383424
31,caccb9f684a14ff0a17f35c9f822f259.bin,110998,1.561280,25.244801
32,b8e720d836274c5da346f7e8a46b8a5f.bin,108226,1.458912,26.692352
33,eaa81f61d6a74d7da1d54fb2d2f2bdf8.bin,72049,1.277056,14.460704
34,3fc868d0c6984ae6855406f386d4fc69.bin,106469,1.458080,26.905567
35,6b9a36508b994d95927d7b2af790db05.bin,104598,1.485920,24.189983
36,ff203550c7614afc984ea4323e9b6799.bin,72671,1.395904,13.615488
37,addc85df1c34465090f92fa811ecaac6.bin,109316,1.502496,25.751295
38,2314ea963c6f415fafe75d8e578be1d6.bin,116417,1.528928,26.646208
39,e0c4e822835f4a2e925dec94a835d5ab.bin,70923,1.409056,14.064704
40,7d47a8f93f564e4e9546107d21de0551.bin,30489,1.275520,9.788352
41,5986a2bd42ec4cd4bacd1ff986a36882.bin,116650,1.465504,33.866497
42,aa298fdc84fb489a911a3f363d3beda9.bin,16577,1.150912,9.731616
43,08e76760a8c64a92a86686baf68f6aff.bin,110909,1.498208,25.889025
44,244f3bb0a98149b8a0cf4ecd1719cf31.bin,112493,1.578048,28.787840
45,c10534cac92945438adc094afeb541f7.bin,101826,1.349632,26.080128
46,0abd4e71179c450f935b18eed1a80f85.bin,107119,1.515648,21.805281
47,c3240502fa1e42f1aef31b01d7abe539.bin,93554,1.504032,19.293695
48,0ee2e970ef9140d7b440c93a06d4c633.bin,92291,1.529728,18.864416
49,abad69b7e6194c95b18a054aa082cfb8.bin,15853,1.132096,9.519040
50,f334e3c6c5684a9ab5ac3122287dc50c.bin,77578,1.258816,18.229984
51,c2102371cbcf4d8f9eb66069a3d5b350.bin,98098,1.446368,23.488031
52,98bf27ef19ff41fe9c46bb8fff168076.bin,80413,1.403168,16.348703
53,bf6462153f7e45ac97c6ca0469d7936b.bin,104087,1.475264,22.990433
54,fa48d1046e22419fad3615fc17225e16.bin,79271,1.327072,20.470207
55,55b9812e9276478b9860edab6a2ef3e6.bin,106500,1.492224,26.653824
56,a2125808ffbc44feb85812295db72781.bin,33068,1.351168,9.137856
57,a2f135999c12428caacda927ebcff835.bin,38636,1.183648,15.515168
58,9212da5bfd6641b4b225ae51f608dfad.bin,102461,1.493568,23.778336
59,07fad91090c746ccaa1b2bdb55329e20.bin,105544,1.523232,21.720320
60,0b356d1230cc4cf9b50580c6b432576f.bin,108271,1.567008,23.369888
61,1c9a906c40f6417bbe1cea06d6e55501.bin,103356,1.491232,21.816320
62,ec671ed4954b435a9188d1646e82466d.bin,104986,1.490912,23.621599
63,66dcc398f35845de99fd4ac9f2b98576.bin,86221,1.327488,19.077761
64,8f0808f02e6f4e30915c719e16fcc8b6.bin,96659,1.363232,24.241377
65,8887f956960c40df8e801576ad31ac93.bin,60719,1.369632,12.757120
66,d617daef46b24ba39fcc80e8f767b082.bin,98971,1.542272,16.750336
67,814720ee91d54e408e6fd0dd1b356e9c.bin,120318,1.500160,33.270496
68,2d800e7c6d03460e8532daba3641f5d2.bin,31853,1.265440,10.812832
69,d9a1ed3782c54edf8e48c0dac652869b.bin,29310,1.131264,10.961792
70,492564515fd64974a7794710e7676c84.bin,119370,1.541984,27.862783
71,65cda5e5171247e9a7a18afc9a8447d5.bin,118505,1.557632,27.242529
72,700c1a25559b4433be532de3475e58a9.bin,84732,1.283808,18.810720
73,19316021f0a64765b8ac8887ff3d0e07.bin,105488,1.433760,25.253183
74,4a1972f8731b4cdea40fc69a38a735b1.bin,116744,1.566464,26.576000
75,353a0ef8f00847f98a1540b086b4d018.bin,53726,1.332640,13.503648
76,89bc1e54d10a47f8bbb13552df6fc114.bin,40371,1.240960,17.314816
77,c3177f4c31224fcb9b95f0d18bcfc2ca.bin,65339,1.255520,14.157280
78,97b2a78e052446b0899ae1bcf8eab099.bin,101325,1.474688,22.760416
79,6b849f66b0974bff9cd073b4c70b23cb.bin,102499,1.467552,22.957760
80,ab76b5143c7c433bac44049dc2a8c9e1.bin,80651,1.266432,18.250528
81,31dc0c75e21748edb4b32c388cf4a86a.bin,113505,1.473888,30.685568
82,86958f43ae42452badc0ca07c865b890.bin,107991,1.501440,23.611872
83,4ab3ec113eb241d5abc93b2ebe1313df.bin,105925,1.572608,24.331585
84,4e9c011236e64ac3876e8ae12290b881.bin,63303,1.203392,13.526464
85,e991851a80d849f082070405128a942f.bin,46794,1.382912,10.246816
86,ed5b84e7ea6f434e99d7816b37d15f2f.bin,31907,1.196640,9.751808
87,fa4fd842a896479fa0f126d0e06c78bd.bin,34192,1.235584,10.071072
88,9f1086220cf64cf58551f5207efc31f6.bin,34741,1.255552,9.573952
89,2cdfb72242d1424c9d3bf8bcf8530cd3.bin,103709,1.366400,27.993919
90,9018d220fc7340998efa65631a9c3cd4.bin,104155,1.470592,26.759872
91,348c385855904deaba5c478b0f93cfb7.bin,114047,1.504352,28.175425
92,278d97e2af5547e989e99ab6d2d65b34.bin,89658,1.478720,17.517792
93,950d6f7fe8ca41538582327bf45afcc1.bin,107189,1.498912,22.860737
94,edea4d60969d47d09921b65cdee2cb1e.bin,79079,1.371904,15.463136
95,9d67cdab13e84fd1856e3c998dee2ece.bin,109306,1.462272,28.933727
96,b4568c3c716449ad915c3d31ea83ff2e.bin,79024,1.285312,15.659072
