ifile,name,num_valid,voxelization_time,scn_time
0,79a10e4d9e5b49e980a8897d6f09f450.bin,101313,1.489152,23.104671
1,d34984a371044f33998cde724c33a102.bin,105757,1.460480,24.242529
2,91b1849b2b1747a39ba5732ba4caa1df.bin,96342,1.405216,21.736641
3,6b3c851413064994bb0babae7e74efad.bin,27572,1.065792,10.617248
4,7f8368b7a14341b3bef03a7aec63f9b5.bin,16327,1.127392,8.206720
5,d1d38dddb8174acf9cb776ec6c941024.bin,106660,1.523584,23.437599
6,6c8d4379e83646d08436f6ec92b35fe5.bin,76922,1.257408,19.556353
7,0305c100b4a84730989c5dda78ddeec9.bin,108492,1.501856,24.473761
8,29ac0fcfafd84f309c87aadf3115c950.bin,35461,1.206496,10.723840
9,b4accdcad42b4ff3a8b112c8c525ade7.bin,30635,1.256288,8.604192
10,4c5a8356ea1741548238807ba41235d3.bin,100287,1.506176,22.208160
11,45c4bd03ee6f4a369dd42abf08dc3957.bin,17573,1.174528,9.481376
12,be8633f083d2475f893b86dd55b40247.bin,100414,1.346368,24.801825
13,cbaaec205eff4568b512c1697f72102a.bin,104677,1.494176,23.040257
14,b58468bede76466aa930983808b6ad29.bin,93402,1.420128,18.878016
15,b6040c8081f544bda2bef0395d78762b.bin,94664,1.365600,21.978369
16,c35efe5eaf784275b8c7e31fb50aa902.bin,16250,1.091584,11.967552
17,741bbef66bca4f969a3d114ea0236f54.bin,98398,1.402592,22.146944
18,c0b90da5ed8c4bb2b18589e4fca1274f.bin,36667,1.255872,10.000864
19,a6be1b51213443ba9991585f56a30c71.bin,85472,1.368256,20.484385
20,fccf8bafaeeb4f038492da7f5e2f54ed.bin,108411,1.480256,28.823296
21,75642377ad5f4a0fa9d7baaf0d19a987.bin,99842,1.440224,23.458143
22,af7a7e39956646a785d8d7c5831fea62.bin,112931,1.477056,26.942495
23,de9de0f47732412ab3237f24cff1cf48.bin,105384,1.425216,26.118464
24,52e468d2e8da4ae4b2db7d446ce56a15.bin,99784,1.463296,23.747105
25,22ce804db92749a1aee3a08ffbecfbbd.bin,90332,1.398624,21.263391
26,523a794414fa482582dd27e9335e415d.bin,96646,1.499456,23.425119
