pl/bl,interp,input_width,input_height,output_width,output_height,layout,dtype,gpu_time(us)
NV12PitchLinear,Nearest,3840,2160,2560,1440,NHWC_BGR,Float32,84.120575
NV12PitchLinear,Bilinear,3840,2160,2560,1440,NHWC_BGR,Float32,109.666306
NV12PitchLinear,Nearest,3840,2160,1920,1080,NHWC_BGR,Float32,47.400959
NV12PitchLinear,Bilinear,3840,2160,1920,1080,NHWC_BGR,Float32,68.034561
NV12PitchLinear,Nearest,3840,2160,1280,720,NHWC_BGR,Float32,20.559872
NV12PitchLinear,Bilinear,3840,2160,1280,720,NHWC_BGR,Float32,35.272705
NV12PitchLinear,Nearest,3840,2160,640,360,NHWC_BGR,Float32,6.667264
NV12PitchLinear,Bilinear,3840,2160,640,360,NHWC_BGR,Float32,9.580544
NV12PitchLinear,Nearest,2560,1440,1920,1080,NHWC_BGR,Float32,42.919937
NV12PitchLinear,Bilinear,2560,1440,1920,1080,NHWC_BGR,Float32,61.953026
NV12PitchLinear,Nearest,2560,1440,1280,720,NHWC_BGR,Float32,18.456575
NV12PitchLinear,Bilinear,2560,1440,1280,720,NHWC_BGR,Float32,29.703169
NV12PitchLinear,Nearest,2560,1440,640,360,NHWC_BGR,Float32,6.621184
NV12PitchLinear,Bilinear,2560,1440,640,360,NHWC_BGR,Float32,9.431040
NV12PitchLinear,Nearest,1920,1080,1280,720,NHWC_BGR,Float32,17.358849
NV12PitchLinear,Bilinear,1920,1080,1280,720,NHWC_BGR,Float32,27.731968
NV12PitchLinear,Nearest,1920,1080,640,360,NHWC_BGR,Float32,6.616064
NV12PitchLinear,Bilinear,1920,1080,640,360,NHWC_BGR,Float32,9.485312
NV12PitchLinear,Nearest,1280,720,640,360,NHWC_BGR,Float32,6.601728
NV12PitchLinear,Bilinear,1280,720,640,360,NHWC_BGR,Float32,9.370624
NV12PitchLinear,Nearest,640,360,1280,720,NHWC_BGR,Float32,17.227776
NV12PitchLinear,Bilinear,640,360,1280,720,NHWC_BGR,Float32,27.072512
NV12PitchLinear,Nearest,640,360,1920,1080,NHWC_BGR,Float32,36.268032
NV12PitchLinear,Bilinear,640,360,1920,1080,NHWC_BGR,Float32,57.346046
